image;threads;seconds
1080.jpg;1;0.250566
1080.jpg;1;0.241894
1080.jpg;1;0.236298
1080.jpg;1;0.224724
1080.jpg;1;0.300133
1080.jpg;1;0.236890
1080.jpg;1;0.237924
1080.jpg;1;0.230350
1080.jpg;1;0.236561
1080.jpg;1;0.227638
1080.jpg;1;0.238118
1080.jpg;1;0.228936
1080.jpg;1;0.241332
1080.jpg;1;0.231678
1080.jpg;1;0.231087
1080.jpg;1;0.228833
1080.jpg;1;0.233920
1080.jpg;1;0.236433
1080.jpg;1;0.234553
1080.jpg;1;0.229199
1080.jpg;1;0.236634
1080.jpg;1;0.237977
1080.jpg;1;0.235926
1080.jpg;1;0.239462
1080.jpg;1;0.226170
1080.jpg;1;0.227008
1080.jpg;1;0.225322
1080.jpg;1;0.225081
1080.jpg;1;0.236265
1080.jpg;1;0.230120
1080.jpg;1;0.242188
1080.jpg;1;0.227970
1080.jpg;1;0.221185
1080.jpg;1;0.232979
1080.jpg;1;0.234363
1080.jpg;1;0.227429
1080.jpg;1;0.230449
1080.jpg;1;0.238725
1080.jpg;1;0.237610
1080.jpg;1;0.227614
1080.jpg;2;0.222875
1080.jpg;2;0.223918
1080.jpg;2;0.222148
1080.jpg;2;0.220679
1080.jpg;2;0.220422
1080.jpg;2;0.224138
1080.jpg;2;0.223278
1080.jpg;2;0.223634
1080.jpg;2;0.220617
1080.jpg;2;0.236613
1080.jpg;2;0.223086
1080.jpg;2;0.223506
1080.jpg;2;0.225390
1080.jpg;2;0.303678
1080.jpg;2;0.218146
1080.jpg;2;0.223629
1080.jpg;2;0.223403
1080.jpg;2;0.222921
1080.jpg;2;0.226758
1080.jpg;2;0.222433
1080.jpg;2;0.224602
1080.jpg;2;0.237438
1080.jpg;2;0.225998
1080.jpg;2;0.223080
1080.jpg;2;0.222951
1080.jpg;2;0.224026
1080.jpg;2;0.222215
1080.jpg;2;0.224213
1080.jpg;2;0.231234
1080.jpg;2;0.223807
1080.jpg;2;0.266637
1080.jpg;2;0.228026
1080.jpg;2;0.226992
1080.jpg;2;0.221193
1080.jpg;2;0.696109
1080.jpg;2;0.270265
1080.jpg;2;0.262889
1080.jpg;2;0.267132
1080.jpg;2;0.228077
1080.jpg;2;0.220354
1080.jpg;4;0.216098
1080.jpg;4;0.219905
1080.jpg;4;0.217938
1080.jpg;4;0.224000
1080.jpg;4;0.224876
1080.jpg;4;0.218169
1080.jpg;4;0.216951
1080.jpg;4;0.216881
1080.jpg;4;0.219662
1080.jpg;4;0.221173
1080.jpg;4;0.222338
1080.jpg;4;0.219313
1080.jpg;4;0.216656
1080.jpg;4;0.220368
1080.jpg;4;0.217703
1080.jpg;4;0.215899
1080.jpg;4;0.222515
1080.jpg;4;0.219208
1080.jpg;4;0.218646
1080.jpg;4;0.218836
1080.jpg;4;0.224600
1080.jpg;4;0.215979
1080.jpg;4;0.215610
1080.jpg;4;0.219266
1080.jpg;4;0.220093
1080.jpg;4;0.217610
1080.jpg;4;0.219093
1080.jpg;4;0.221614
1080.jpg;4;0.221069
1080.jpg;4;0.215999
1080.jpg;4;0.221733
1080.jpg;4;0.710725
1080.jpg;4;0.262777
1080.jpg;4;0.261686
1080.jpg;4;0.214800
1080.jpg;4;0.219757
