,,seconds,seconds,seconds,seconds,seconds,seconds,seconds,seconds
,,count,mean,std,min,25%,50%,75%,max
image,threads,,,,,,,,
1080.jpg,1,30.0,0.23329829999999996,0.004076448277860147,0.227008,0.22942925,0.2341415,0.23661575,0.239462
1080.jpg,2,30.0,0.22648236666666663,0.007875823812337885,0.221193,0.2230815,0.22386250000000002,0.226568,0.262889
1080.jpg,4,30.0,0.21979243333333334,0.0021999514835298216,0.216098,0.21828825000000002,0.21942499999999998,0.221147,0.2246
1080.jpg,8,30.0,0.2329312666666667,0.023972501664706745,0.216989,0.21849649999999998,0.220262,0.24399075,0.311988
1080.jpg,16,30.0,0.21868059999999998,0.001690895123075758,0.216782,0.21750025,0.2179795,0.21959525000000002,0.222613
4k.jpg,1,30.0,0.8358309333333335,0.007564961434973987,0.822041,0.8287695,0.8375509999999999,0.8411305,0.847797
4k.jpg,2,30.0,0.8200265666666666,0.004762862582330176,0.813078,0.81642075,0.8198615,0.8229465,0.828136
4k.jpg,4,30.0,0.8018232999999999,0.003832106003771022,0.795613,0.79903925,0.801407,0.80455175,0.808767
4k.jpg,8,30.0,0.7956262666666667,0.0038829318991366974,0.790358,0.79272425,0.7944225,0.7988602499999999,0.802688
4k.jpg,16,30.0,0.7914276333333333,0.003951775545798087,0.785159,0.78869425,0.7912525,0.79460075,0.798782
720.jpg,1,30.0,0.0751239,0.0015254779092874924,0.072045,0.07411775,0.075325,0.076174,0.077514
720.jpg,2,30.0,0.07932120000000002,0.006105471782160543,0.07007,0.07122325,0.0834985,0.084006,0.084327
720.jpg,4,30.0,0.0750074,0.006330743305489491,0.067726,0.06835925,0.075465,0.081219,0.081951
720.jpg,8,30.0,0.07830526666666665,0.004838161783537025,0.068328,0.07633100000000001,0.0804575,0.08144425,0.082426
720.jpg,16,30.0,0.07303463333333333,0.00554285521769853,0.067957,0.06851225,0.0691905,0.079321,0.081671
