,,seconds,seconds,seconds,seconds,seconds,seconds,seconds,seconds
,,count,mean,std,min,25%,50%,75%,max
image,threads,,,,,,,,
1080.jpg,1,30.0,0.008296133333333332,0.0004048808878341053,0.007532,0.00792325,0.008368500000000001,0.008638999999999999,0.008859
1080.jpg,2,30.0,0.009992166666666667,0.0006009172347241389,0.009209,0.00947675,0.0099025,0.010445,0.011056
1080.jpg,4,30.0,0.010760800000000004,0.0012841118868428228,0.005689,0.01044575,0.011138499999999999,0.01162875,0.011889
1080.jpg,8,30.0,0.007515633333333332,0.0003427909268639265,0.007091,0.007239499999999999,0.007411,0.00775,0.008177
1080.jpg,16,30.0,0.008510266666666667,0.0006977974181534417,0.006672,0.00820775,0.008473000000000001,0.008976,0.009594
4k.jpg,1,30.0,0.034529666666666674,0.000963040706459935,0.032845,0.03378175,0.034557500000000005,0.03549875,0.036019
4k.jpg,2,30.0,0.041775066666666666,0.0020518381150994116,0.038253,0.04015925,0.041735999999999995,0.04357125,0.045279
4k.jpg,4,30.0,0.023772399999999996,0.0014699459900938887,0.020673,0.02270875,0.024111,0.0250065,0.025879
4k.jpg,8,30.0,0.0240709,0.0013819461127774445,0.021681,0.02310825,0.024102,0.02522075,0.026356
4k.jpg,16,30.0,0.019056066666666666,0.00154527120559809,0.016003,0.0179865,0.0193365,0.0200385,0.021461
720.jpg,1,30.0,0.003966733333333333,0.00020556464430564352,0.003701,0.0037515,0.003968,0.0041455,0.004383
720.jpg,2,30.0,0.004818800000000001,0.00020194253194138315,0.004626,0.00464525,0.0047775000000000005,0.00491275,0.00525
720.jpg,4,30.0,0.0027671666666666665,8.603090195943555e-05,0.002651,0.00268475,0.002765,0.002824,0.002933
720.jpg,8,30.0,0.0037294000000000003,0.00040699568751421976,0.002951,0.0036450000000000002,0.003669,0.0040785,0.004362
720.jpg,16,30.0,0.004559666666666668,0.0006525924076900624,0.002518,0.00437475,0.0045945,0.0049395,0.005588
